date,station,metric,index,lag_hours
2023-04-23,SOPO,entropy,2023-04-23 17:59:00,1.15
2023-04-23,SOPO,sampen,2023-04-23 01:06:00,-15.733333333333333
2023-04-23,SOPO,permutation_entropy,2023-04-23 12:50:00,-4.0
2023-04-23,SOPO,shannon_entropy,2023-04-23 02:06:00,-14.733333333333333
2023-04-23,SOPO,spectral_entropy,2023-04-24 00:50:00,8.0
2023-04-23,SOPO,app_entropy,2023-04-23 01:06:00,-15.733333333333333
2023-04-23,SOPO,hurst,2023-04-23 01:14:00,-15.6
2023-04-23,SOPO,dfa,2023-04-23 01:14:00,-15.6
2023-04-23,SOPO,mfhurst_b,2023-04-23 05:28:00,-11.366666666666667
2023-04-23,SOPO,higuchi_fd,2023-04-23 07:26:00,-9.4
2023-04-23,SOPO,katz_fd,2023-04-23 02:17:00,-14.55
2023-04-23,SOPO,petrosian_fd,2023-04-23 14:00:00,-2.8333333333333335
2023-04-23,SOPO,lepel_ziv,2023-04-23 01:44:00,-15.1
2023-04-23,SOPO,corr_dim,2023-04-23 01:35:00,-15.25
2023-04-23,SOPO,value,2023-04-23 01:19:00,-15.516666666666667
2023-04-23,NEWK,entropy,2023-04-23 18:29:00,-1.6833333333333333
2023-04-23,NEWK,sampen,2023-04-23 04:21:00,-15.816666666666666
2023-04-23,NEWK,permutation_entropy,2023-04-23 18:47:00,-1.3833333333333333
2023-04-23,NEWK,shannon_entropy,2023-04-23 07:45:00,-12.416666666666666
2023-04-23,NEWK,spectral_entropy,2023-04-23 18:22:00,-1.8
2023-04-23,NEWK,app_entropy,2023-04-23 03:19:00,-16.85
2023-04-23,NEWK,hurst,2023-04-23 01:49:00,-18.35
2023-04-23,NEWK,dfa,2023-04-23 12:57:00,-7.216666666666667
2023-04-23,NEWK,mfhurst_b,2023-04-23 01:10:00,-19.0
2023-04-23,NEWK,higuchi_fd,2023-04-23 02:40:00,-17.5
2023-04-23,NEWK,katz_fd,2023-04-23 01:18:00,-18.866666666666667
2023-04-23,NEWK,petrosian_fd,2023-04-23 19:38:00,-0.5333333333333333
2023-04-23,NEWK,lepel_ziv,2023-04-23 01:07:00,-19.05
2023-04-23,NEWK,corr_dim,2023-04-23 02:35:00,-17.583333333333332
2023-04-23,NEWK,value,2023-04-23 02:10:00,-18.0
2023-04-23,AATB,entropy,2023-04-24 04:10:00,10.166666666666666
2023-04-23,AATB,sampen,2023-04-23 01:39:00,-16.35
2023-04-23,AATB,permutation_entropy,2023-04-23 03:13:00,-14.783333333333333
2023-04-23,AATB,shannon_entropy,2023-04-23 02:18:00,-15.7
2023-04-23,AATB,spectral_entropy,2023-04-23 16:58:00,-1.0333333333333334
2023-04-23,AATB,app_entropy,2023-04-23 01:08:00,-16.866666666666667
2023-04-23,AATB,hurst,2023-04-23 03:44:00,-14.266666666666667
2023-04-23,AATB,dfa,2023-04-23 03:37:00,-14.383333333333333
2023-04-23,AATB,mfhurst_b,2023-04-23 01:13:00,-16.783333333333335
2023-04-23,AATB,higuchi_fd,2023-04-23 04:31:00,-13.483333333333333
2023-04-23,AATB,katz_fd,2023-04-23 02:43:00,-15.283333333333333
2023-04-23,AATB,petrosian_fd,2023-04-23 17:51:00,-0.15
2023-04-23,AATB,lepel_ziv,2023-04-23 01:51:00,-16.15
2023-04-23,AATB,corr_dim,2023-04-23 01:44:00,-16.266666666666666
2023-04-23,AATB,value,2023-04-23 02:09:00,-15.85
2023-04-23,PWNK,entropy,2023-04-23 01:06:00,-16.9
2023-04-23,PWNK,sampen,2023-04-23 01:10:00,-16.833333333333332
2023-04-23,PWNK,permutation_entropy,2023-04-23 08:13:00,-9.783333333333333
2023-04-23,PWNK,shannon_entropy,2023-04-23 03:59:00,-14.016666666666667
2023-04-23,PWNK,spectral_entropy,2023-04-23 18:49:00,0.8166666666666667
2023-04-23,PWNK,app_entropy,2023-04-23 02:30:00,-15.5
2023-04-23,PWNK,hurst,2023-04-23 01:47:00,-16.216666666666665
2023-04-23,PWNK,dfa,2023-04-23 02:29:00,-15.516666666666667
2023-04-23,PWNK,mfhurst_b,2023-04-23 01:32:00,-16.466666666666665
2023-04-23,PWNK,higuchi_fd,2023-04-23 03:59:00,-14.016666666666667
2023-04-23,PWNK,katz_fd,2023-04-23 01:09:00,-16.85
2023-04-23,PWNK,petrosian_fd,2023-04-23 07:22:00,-10.633333333333333
2023-04-23,PWNK,lepel_ziv,2023-04-23 02:42:00,-15.3
2023-04-23,PWNK,corr_dim,2023-04-23 01:32:00,-16.466666666666665
2023-04-23,PWNK,value,2023-04-23 02:01:00,-15.983333333333333
2023-04-23,LMKS,entropy,2023-04-23 01:06:00,-16.65
2023-04-23,LMKS,sampen,2023-04-23 02:51:00,-14.9
2023-04-23,LMKS,permutation_entropy,2023-04-23 07:02:00,-10.716666666666667
2023-04-23,LMKS,shannon_entropy,2023-04-23 01:19:00,-16.433333333333334
2023-04-23,LMKS,spectral_entropy,2023-04-23 09:06:00,-8.65
2023-04-23,LMKS,app_entropy,2023-04-23 01:36:00,-16.15
2023-04-23,LMKS,hurst,2023-04-23 01:08:00,-16.616666666666667
2023-04-23,LMKS,dfa,2023-04-23 08:14:00,-9.516666666666667
2023-04-23,LMKS,mfhurst_b,2023-04-23 01:07:00,-16.633333333333333
2023-04-23,LMKS,higuchi_fd,2023-04-23 05:18:00,-12.45
2023-04-23,LMKS,katz_fd,2023-04-23 02:39:00,-15.1
2023-04-23,LMKS,petrosian_fd,2023-04-24 01:23:00,7.633333333333334
2023-04-23,LMKS,lepel_ziv,2023-04-23 01:41:00,-16.066666666666666
2023-04-23,LMKS,corr_dim,2023-04-23 02:54:00,-14.85
2023-04-23,LMKS,value,2023-04-23 02:12:00,-15.55
2023-04-23,INVK,entropy,2023-04-23 01:06:00,-19.233333333333334
2023-04-23,INVK,sampen,2023-04-23 01:06:00,-19.233333333333334
2023-04-23,INVK,permutation_entropy,2023-04-23 02:30:00,-17.833333333333332
2023-04-23,INVK,shannon_entropy,2023-04-23 01:52:00,-18.466666666666665
2023-04-23,INVK,spectral_entropy,2023-04-23 01:08:00,-19.2
2023-04-23,INVK,app_entropy,2023-04-23 02:42:00,-17.633333333333333
2023-04-23,INVK,hurst,2023-04-23 09:52:00,-10.466666666666667
2023-04-23,INVK,dfa,2023-04-23 02:59:00,-17.35
2023-04-23,INVK,mfhurst_b,2023-04-23 01:08:00,-19.2
2023-04-23,INVK,higuchi_fd,2023-04-23 01:42:00,-18.633333333333333
2023-04-23,INVK,katz_fd,2023-04-23 01:08:00,-19.2
2023-04-23,INVK,petrosian_fd,2023-04-23 12:17:00,-8.05
2023-04-23,INVK,lepel_ziv,2023-04-23 01:22:00,-18.966666666666665
2023-04-23,INVK,corr_dim,2023-04-23 06:15:00,-14.083333333333334
2023-04-23,INVK,value,2023-04-23 01:40:00,-18.666666666666668
2023-04-23,MXCO,entropy,2023-04-23 01:32:00,-19.3
2023-04-23,MXCO,sampen,2023-04-23 01:16:00,-19.566666666666666
2023-04-23,MXCO,permutation_entropy,2023-04-23 01:14:00,-19.6
2023-04-23,MXCO,shannon_entropy,2023-04-23 01:58:00,-18.866666666666667
2023-04-23,MXCO,spectral_entropy,2023-04-23 10:41:00,-10.15
2023-04-23,MXCO,app_entropy,2023-04-23 03:08:00,-17.7
2023-04-23,MXCO,hurst,2023-04-23 01:21:00,-19.483333333333334
2023-04-23,MXCO,dfa,2023-04-23 01:14:00,-19.6
2023-04-23,MXCO,mfhurst_b,2023-04-23 03:15:00,-17.583333333333332
2023-04-23,MXCO,higuchi_fd,2023-04-23 02:46:00,-18.066666666666666
2023-04-23,MXCO,katz_fd,2023-04-23 03:44:00,-17.1
2023-04-23,MXCO,petrosian_fd,2023-04-23 01:07:00,-19.716666666666665
2023-04-23,MXCO,lepel_ziv,2023-04-23 01:17:00,-19.55
2023-04-23,MXCO,corr_dim,2023-04-23 02:21:00,-18.483333333333334
2023-04-23,MXCO,value,2023-04-23 01:48:00,-19.033333333333335
2023-04-23,IRK2,entropy,2023-04-24 03:49:00,10.483333333333333
2023-04-23,IRK2,sampen,2023-04-23 01:12:00,-16.133333333333333
2023-04-23,IRK2,permutation_entropy,2023-04-23 01:28:00,-15.866666666666667
2023-04-23,IRK2,shannon_entropy,2023-04-23 05:35:00,-11.75
2023-04-23,IRK2,spectral_entropy,2023-04-23 18:26:00,1.1
2023-04-23,IRK2,app_entropy,2023-04-23 02:57:00,-14.383333333333333
2023-04-23,IRK2,hurst,2023-04-23 02:25:00,-14.916666666666666
2023-04-23,IRK2,dfa,2023-04-23 01:06:00,-16.233333333333334
2023-04-23,IRK2,mfhurst_b,2023-04-23 01:07:00,-16.216666666666665
2023-04-23,IRK2,higuchi_fd,2023-04-23 01:25:00,-15.916666666666666
2023-04-23,IRK2,katz_fd,2023-04-23 01:08:00,-16.2
2023-04-23,IRK2,petrosian_fd,2023-04-23 01:54:00,-15.433333333333334
2023-04-23,IRK2,lepel_ziv,2023-04-23 02:08:00,-15.2
2023-04-23,IRK2,corr_dim,2023-04-23 02:09:00,-15.183333333333334
2023-04-23,IRK2,value,2023-04-23 02:28:00,-14.866666666666667
2023-04-23,NAIN,entropy,2023-04-24 03:57:00,8.783333333333333
2023-04-23,NAIN,sampen,2023-04-23 01:07:00,-18.05
2023-04-23,NAIN,permutation_entropy,2023-04-23 03:49:00,-15.35
2023-04-23,NAIN,shannon_entropy,2023-04-23 01:55:00,-17.25
2023-04-23,NAIN,spectral_entropy,2023-04-23 14:40:00,-4.5
2023-04-23,NAIN,app_entropy,2023-04-23 03:00:00,-16.166666666666668
2023-04-23,NAIN,hurst,2023-04-23 01:08:00,-18.033333333333335
2023-04-23,NAIN,dfa,2023-04-23 03:46:00,-15.4
2023-04-23,NAIN,mfhurst_b,2023-04-23 03:01:00,-16.15
2023-04-23,NAIN,higuchi_fd,2023-04-23 07:17:00,-11.883333333333333
2023-04-23,NAIN,katz_fd,2023-04-23 01:06:00,-18.066666666666666
2023-04-23,NAIN,petrosian_fd,2023-04-23 03:18:00,-15.866666666666667
2023-04-23,NAIN,lepel_ziv,2023-04-23 02:48:00,-16.366666666666667
2023-04-23,NAIN,corr_dim,2023-04-23 02:00:00,-17.166666666666668
2023-04-23,NAIN,value,2023-04-23 02:57:00,-16.216666666666665
2023-04-23,APTY,entropy,2023-04-23 01:06:00,-17.816666666666666
2023-04-23,APTY,sampen,2023-04-23 01:06:00,-17.816666666666666
2023-04-23,APTY,permutation_entropy,2023-04-23 02:05:00,-16.833333333333332
2023-04-23,APTY,shannon_entropy,2023-04-23 01:18:00,-17.616666666666667
2023-04-23,APTY,spectral_entropy,2023-04-23 01:40:00,-17.25
2023-04-23,APTY,app_entropy,2023-04-23 01:59:00,-16.933333333333334
2023-04-23,APTY,hurst,2023-04-23 02:09:00,-16.766666666666666
2023-04-23,APTY,dfa,2023-04-23 11:20:00,-7.583333333333333
2023-04-23,APTY,mfhurst_b,2023-04-23 07:21:00,-11.566666666666666
2023-04-23,APTY,higuchi_fd,2023-04-23 03:57:00,-14.966666666666667
2023-04-23,APTY,katz_fd,2023-04-23 01:09:00,-17.766666666666666
2023-04-23,APTY,petrosian_fd,2023-04-23 04:27:00,-14.466666666666667
2023-04-23,APTY,lepel_ziv,2023-04-23 02:51:00,-16.066666666666666
2023-04-23,APTY,corr_dim,2023-04-23 01:48:00,-17.116666666666667
2023-04-23,APTY,value,2023-04-23 03:21:00,-15.566666666666666
2024-03-24,SOPO,entropy,2024-03-25 03:10:00,17.583333333333332
2024-03-24,SOPO,sampen,2024-03-23 18:42:00,-14.883333333333333
2024-03-24,SOPO,permutation_entropy,2024-03-24 15:48:00,6.216666666666667
2024-03-24,SOPO,shannon_entropy,2024-03-23 20:34:00,-13.016666666666667
2024-03-24,SOPO,spectral_entropy,2024-03-23 23:34:00,-10.016666666666667
2024-03-24,SOPO,app_entropy,2024-03-24 02:06:00,-7.483333333333333
2024-03-24,SOPO,hurst,2024-03-23 20:46:00,-12.816666666666666
2024-03-24,SOPO,dfa,2024-03-24 00:32:00,-9.05
2024-03-24,SOPO,mfhurst_b,2024-03-23 18:42:00,-14.883333333333333
2024-03-24,SOPO,higuchi_fd,2024-03-23 23:36:00,-9.983333333333333
2024-03-24,SOPO,katz_fd,2024-03-23 18:42:00,-14.883333333333333
2024-03-24,SOPO,petrosian_fd,2024-03-25 01:00:00,15.416666666666666
2024-03-24,SOPO,lepel_ziv,2024-03-23 21:18:00,-12.283333333333333
2024-03-24,SOPO,corr_dim,2024-03-23 19:08:00,-14.45
2024-03-24,SOPO,value,2024-03-25 01:28:00,15.883333333333333
2024-03-24,MWSN,entropy,2024-03-25 01:36:00,14.783333333333333
2024-03-24,MWSN,sampen,2024-03-23 18:42:00,-16.116666666666667
2024-03-24,MWSN,permutation_entropy,2024-03-24 10:32:00,-0.2833333333333333
2024-03-24,MWSN,shannon_entropy,2024-03-23 20:20:00,-14.483333333333333
2024-03-24,MWSN,spectral_entropy,2024-03-24 12:52:00,2.05
2024-03-24,MWSN,app_entropy,2024-03-23 23:36:00,-11.216666666666667
2024-03-24,MWSN,hurst,2024-03-23 23:52:00,-10.95
2024-03-24,MWSN,dfa,2024-03-24 07:38:00,-3.183333333333333
2024-03-24,MWSN,mfhurst_b,2024-03-23 18:42:00,-16.116666666666667
2024-03-24,MWSN,higuchi_fd,2024-03-24 06:10:00,-4.65
2024-03-24,MWSN,katz_fd,2024-03-23 18:42:00,-16.116666666666667
2024-03-24,MWSN,petrosian_fd,2024-03-24 19:26:00,8.616666666666667
2024-03-24,MWSN,lepel_ziv,2024-03-23 18:52:00,-15.95
2024-03-24,MWSN,corr_dim,2024-03-23 20:16:00,-14.55
2024-03-24,MWSN,value,2024-03-24 05:00:00,-5.816666666666666
2024-03-24,NEWK,entropy,2024-03-24 21:08:00,7.933333333333334
2024-03-24,NEWK,sampen,2024-03-23 21:08:00,-16.066666666666666
2024-03-24,NEWK,permutation_entropy,2024-03-24 18:18:00,5.1
2024-03-24,NEWK,shannon_entropy,2024-03-23 19:40:00,-17.533333333333335
2024-03-24,NEWK,spectral_entropy,2024-03-24 17:44:00,4.533333333333333
2024-03-24,NEWK,app_entropy,2024-03-23 21:08:00,-16.066666666666666
2024-03-24,NEWK,hurst,2024-03-23 22:54:00,-14.3
2024-03-24,NEWK,dfa,2024-03-24 22:04:00,8.866666666666667
2024-03-24,NEWK,mfhurst_b,2024-03-23 18:42:00,-18.5
2024-03-24,NEWK,higuchi_fd,2024-03-24 11:00:00,-2.2
2024-03-24,NEWK,katz_fd,2024-03-23 18:42:00,-18.5
2024-03-24,NEWK,petrosian_fd,2024-03-24 18:18:00,5.1
2024-03-24,NEWK,lepel_ziv,2024-03-23 19:00:00,-18.2
2024-03-24,NEWK,corr_dim,2024-03-24 10:44:00,-2.466666666666667
