invariant,median_lag,iqr_lag,sig_pct,n_stations,Rk
dfa,-88.5,304.25,100.0,20,0.595
katz_fd,-65.0,150.0,100.0,20,0.5166666666666666
entropy,50.5,167.0,100.0,20,0.4683333333333333
petrosian_fd,43.5,280.25,100.0,20,0.44499999999999995
higuchi_fd,-43.0,325.0,100.0,20,0.44333333333333336
sampen,-28.5,333.5,96.875,20,0.395
corr_dim,27.0,274.5,100.0,20,0.39
hurst,-22.5,252.25,100.0,20,0.375
app_entropy,21.5,232.75,100.0,20,0.37166666666666665
permutation_entropy,-20.5,232.0,100.0,20,0.36833333333333335
shannon_entropy,7.5,314.5,100.0,20,0.325
mfhurst_b,-7.5,337.75,100.0,20,0.325
lepel_ziv,7.0,225.25,100.0,20,0.3233333333333333
spectral_entropy,5.0,268.5,100.0,20,0.31666666666666665
